budget,revenue,original_title,director,genres,production_companies,release_year,budget_adj,revenue_adj
6000000,35401758,Room,Lenny Abrahamson,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,2015,5519997.57120106,32569603.0293746
0,22354572,Solace,Afonso Poyart,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,2015,0.0,20566197.1908732
175000000,331926147,The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015,160999929.160031,305371920.876354
50000000,71561644,Run All Night,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,2015,45999979.7600089,65836683.5118592
11000000,62076141,Brooklyn,John Crowley,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,2015,10119995.5472019,57110024.5915891
28000000,201634991,Straight Outta Compton,F. Gary Gray,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,2015,25759988.6656049,185504110.098191
90000000,140396650,The Last Witch Hunter,Breck Eisner,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,2015,82799963.568016,129164861.167461
30000000,34441873,Steve Jobs,Danny Boyle,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,2015,27599987.8560053,31686509.2179359
75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,2015,68999969.6400133,99493456.5028791
25000000,42629776,The Age of Adaline,Lee Toland Krieger,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,2015,22999989.8800044,39219376.6634742
10000000,14333790,Hardcore Henry,Ilya Naishuller,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,2015,9199995.95200178,13187080.9976843
135000000,368871007,Home,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,2015,124199945.352024,339361177.121082
12000000,85512300,Paper Towns,Jake Schreier,Drama|Mystery|Romance,Fox 2000 Pictures,2015,11039995.1424021,78671281.3846362
30000000,0,Wild Card,Simon West,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,2015,27599987.8560053,0.0
4000000,9064511,The Lobster,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,2015,3679998.38080071,8339346.45068756
11800000,40272135,Carol,Todd Haynes,Romance|Drama,Killer Films|Film4|Number 9 Films,2015,10855995.2233621,37050347.8978469
35000000,194564672,The Intern,Nancy Meyers,Comedy,Waverly Films|Warner Bros.,2015,32199985.8320062,178999419.480255
55000000,203427584,Everest,Baltasar KormÃ¡kur,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,2015,50599977.7360098,187153294.93255
60000000,101134059,Joy,David O. Russell,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,2015,55199975.7120106,93043293.3409509
105000000,133718711,Point Break,Ericson Core,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,2015,96599957.4960187,123021159.990689
20000000,36606743,Burnt,John Wells,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,2015,18399991.9040035,33678188.7415969
26000000,30523226,Self/less,Tarsem Singh,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,2015,23919989.4752046,28081355.5642035
60000000,30418560,Mortdecai,David Koepp,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,2015,55199975.7120106,27985062.8865723
15000000,64191523,The Danish Girl,Tom Hooper,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,2015,13799993.9280026,59056175.1752829
70000000,17752940,Blackhat,Michael Mann,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,2015,64399971.6640124,16332697.613613
30000000,84025816,Sicario,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,2015,27599987.8560053,77303716.7063646
120000001,167977596,Fantastic Four,Josh Trank,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),2015,110399952.34402,154539320.322699
3500000,40423945,The Witch,Robert Eggers,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,2015,3219998.58320062,37190013.0363942
65000000,235666219,Spy,Paul Feig,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,2015,59799973.6880115,216812826.082356
50100000,153962963,Focus,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2015,46091979.7195289,141645863.63582
35000000,82347656,Hitman: Agent 47,Aleksander Bach,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,2015,32199985.8320062,75759810.1856835
100000000,93820758,In the Heart of the Sea,Ron Howard,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,2015,91999959.5200178,86315059.3813738
20000000,0,Survivor,James McTeigue,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,2015,18399991.9040035,0.0
35000000,137935567,Creed,Ryan Coogler,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,2015,32199985.8320062,126900665.803707
35000000,140795793,Trainwreck,Judd Apatow,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,2015,32199985.8320062,129532072.565888
13000000,32848185,Eye in the Sky,Gavin Hood,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,2015,11959994.7376023,30220316.9030605
25000000,42972994,Legend,Brian Helgeland,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),2015,22999989.8800044,39535137.0845396
0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,Thriller,Furthur Films,2015,0.0,42223.3814217121
150000000,128388320,Pan,Joe Wright,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,2015,137999939.280026,118117202.42843
0,0,Mythica: The Darkspore,Anne K. Black,Action|Adventure|Fantasy,Arrowstorm Entertainment,2015,0.0,0.0
0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Comedy|Drama,Indian Paintbrush,2015,0.0,0.0
99000000,246233113,The Peanuts Movie,Steve Martino,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,2015,91079959.9248176,226534364.284879
35000000,48623572,Concussion,Peter Landesman,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,2015,32199985.8320062,44733666.5571867
25000000,52395996,The Night Before,Jonathan Levine,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,2015,22999989.8800044,48204295.1101101
2500000,5214043,Knock Knock,Eli Roth,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,2015,2299998.98800044,4796917.44935632
34000000,63013281,The Longest Ride,"George Tillman, Jr.",Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,2015,31279986.236806,57972193.012235
80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,2015,73599967.6160142,428888671.768984
17000000,24000000,Love the Coopers,Jessie Nelson,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,2015,15639993.118403,22079990.2848042
35000000,61181942,The Walk,Robert Zemeckis,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,2015,32199985.8320062,56287361.8735607
11000000,1863315,Tracers,Daniel Benmayor,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,2015,10119995.5472019,1714249.04573042
31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,2015,28519987.4512055,96033410.7052992
35000000,95437994,Poltergeist,Gil Kenan,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,2015,32199985.8320062,87802915.846717
4000000,187112,Maggie,Henry Hobson,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,2015,3679998.38080071,172142.964257095
0,2000000,Equals,Drake Doremus,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,2015,0.0,1839999.19040035
50000000,3324330,Child 44,Daniel Espinosa,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,2015,45999979.7600089,3058382.2543118
5000000,58978653,The Gift,Joel Edgerton,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,2015,4599997.97600089,54260336.8854517
50000000,240360392,Daddy's Home,Sean Anders,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,2015,45999979.7600089,221131463.342156
0,0,Mythica: The Necromancer,A. Todd Smith,Fantasy|Action|Adventure,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,2015,0.0,0.0
10000000,0,Vice,Brian A Miller,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,2015,9199995.95200178,0.0
64000000,97571250,The Little Prince,Mark Osborne,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,2015,58879974.0928114,89765510.5031753
0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,2015,0.0,215055014.135793
11930000,18340000,The Dressmaker,Jocelyn Moorhouse,Drama,Amazon Studios|Film Art Media|Apollo Media,2015,10975595.1707381,16872792.5759712
8500000,43528634,The DUFF,Ari Sandel,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,2015,7819996.55920151,40046325.6596167
10000000,52882018,Sinister 2,Ciaran Foy,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,2015,9199995.95200178,48651435.1533685
30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),2015,27599987.8560053,98989419.0846556
0,0,Frozen Fever,Chris Buck|Jennifer Lee,Adventure|Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,2015,0.0,0.0
0,0,High-Rise,Ben Wheatley,Action|Drama|Science Fiction,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,2015,0.0,0.0
4000000,50163103,The Boy Next Door,Rob Cohen,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,2015,3679998.38080071,46150034.4539848
0,0,Spooks: The Greater Good,Bharat Nalluri,Thriller|Action,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,2015,0.0,0.0
30000000,49263404,Entourage,Doug Ellin,Comedy,Warner Bros.|Closest to the Hole Productions,2015,27599987.8560053,45322311.7381828
23000000,79799880,The Wedding Ringer,Jeremy Garelick,Comedy,Miramax Films|Screen Gems|LStar Capital,2015,21159990.689604,73415857.2970227
15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,2015,13799993.9280026,13671898.7043645
5000000,98450062,The Visit,M. Night Shyamalan,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,2015,4599997.97600089,90574017.1874324
53000000,99775678,Black Mass,Scott Cooper,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,2015,48759978.5456094,91793583.3708233
8900000,50136,Heist,Scott Mann,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,2015,8187996.39728158,46125.0997049561
15000000,61548707,Krampus,Michael Dougherty,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,2015,13799993.9280026,56624785.5250943
20000000,208588,Dark Places,Gilles Paquet-Brenner,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,2015,18399991.9040035,191900.875563614
5000000,54418872,No Escape,John Erick Dowdle,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,2015,4599997.97600089,50065340.2112503
700000,17986781,Dope,Rick Famuyiwa,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,2015,643999.716640124,16547831.2389542
28000000,28208085,American Ultra,Nima Nourizadeh,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,2015,25759988.6656049,25951426.7813722
11000000,61619773,Woman in Gold,Simon Curtis,Drama,BBC Films|Origin Pictures,2015,10119995.5472019,56690166.2163268
0,0,The Scorpion King: The Lost Throne,Mike Elliott,Action|Fantasy|Adventure,Universal Pictures,2015,0.0,0.0
30000000,105011053,Sisters,Jason Moore,Comedy,Little Stranger,2015,27599987.8560053,96610126.2515444
12000000,32248241,Project Almanac,Dean Israelite,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,2015,11039995.1424021,29668368.6659177
0,5189646,Absolutely Anything,Terry Jones,Comedy|Science Fiction,Premiere Picture|Bill and Ben Productions|GFM films,2015,0.0,4774472.21923222
25000000,72629670,The Transporter Refueled,Camille Delamarre,Thriller|Action|Crime,EuropaCorp,2015,22999989.8800044,66819266.9995225
55000000,74679822,Crimson Peak,Guillermo del Toro,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,2015,50599977.7360098,68705406.0096213
0,0,Everly,Joe Lynch,Thriller|Action,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",2015,0.0,0.0
14800000,122413057,Magic Mike XXL,Gregory Jacobs,Comedy|Drama|Music,Warner Bros.|Iron Horse Entertainment (II),2015,13615994.0089626,112619962.887216
10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Horror|Thriller,Paramount Pictures|Blumhouse Productions,2015,9199995.95200178,71851557.1453148
0,229094,Slow West,John Maclean,Romance|Thriller|Western,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,2015,0.0,210766.387262789
15000000,8235661,Trumbo,Jay Roach,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,2015,13799993.9280026,7576804.78620589
19500000,32189727,Secret in Their Eyes,Billy Ray,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,2015,17939992.1064034,29614535.8096042
0,2500431,Mistress America,Noah Baumbach,Comedy,RT Features,2015,0.0,2300395.50782597
74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,2015,68079970.0448131,286666383.306791
0,4719695,True Story,Rupert Goold,Crime|Drama|Mystery,Plan B Entertainment|Regency Enterprises|New Regency Pictures,2015,0.0,4342117.4894683
20000000,43967255,Max,Boaz Yakin,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),2015,18399991.9040035,40449856.802063
0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,Family|Animation|Comedy|Adventure,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),2015,0.0,54923975.8334506
11000000,0,Louder Than Bombs,Joachim Trier,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,2015,10119995.5472019,0.0
0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,2015,0.0,1566237.67085542
40000000,10664749,The Gunman,Pierre Morel,Action|Drama|Crime,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),2015,36799983.8080071,9811564.7629115
1000000,62882090,Unfriended,Levan Gabriadze,Horror|Thriller,Bazelevs Production|Blumhouse Productions,2015,919999.595200178,57851497.3453411
35000000,51680201,Hot Pursuit,Anne Fletcher,Action|Crime|Comedy,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,2015,32199985.8320062,47545763.9998638
10000000,104303851,Insidious: Chapter 3,Leigh Whannell,Drama|Horror|Thriller,Sony Pictures,2015,9199995.95200178,95959500.6978197
0,118483,Z for Zachariah,Craig Zobel,Drama|Science Fiction|Thriller,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,2015,0.0,109004.312038102
0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,Action|Adventure|Fantasy,Raffaella Productions,2015,0.0,0.0
6000000,41387687,The Lady in the Van,Nicholas Hytner,Comedy|Drama,BBC Films|TriStar Productions,2015,5519997.57120106,38076655.2862716
40000000,34227298,Victor Frankenstein,Paul McGuigan,Drama|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,2015,36799983.8080071,31489100.3047958
0,0,Brothers of the Wind,Gerado Olivares|Otmar Penker,Adventure|Drama|Family,Terra Mater Factual Studios,2015,0.0,0.0
8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,Animation|Comedy|Drama|Romance,Starburns Industries,2015,7359996.76160142,3458541.59824169
1800000,0,Bone Tomahawk,S. Craig Zahler,Horror|Western|Adventure|Drama,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,2015,1655999.27136032,0.0
0,17671101,Regression,Alejandro AmenÃ¡bar,Horror|Mystery|Thriller,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,2015,0.0,16257405.7667414
0,0,Pawn Sacrifice,Edward Zwick,Drama,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions,2015,0.0,0.0
0,11472454,The Man Who Knew Infinity,Matt Brown,Drama,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,2015,0.0,10554653.0359526
20000000,0,Momentum,Stephen S. Campanelli,Thriller|Action,Thaba Media|Azari Media,2015,18399991.9040035,0.0
2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,Drama|Romance,Caviar Films|Cold Iron Pictures|Archer Gray,2015,1839999.19040035,1358841.24210985
0,0,Pay the Ghost,Uli Edel,Horror|Thriller,Voltage Films|Midnight Kitchen Productions,2015,0.0,0.0
0,0,The Voices,Marjane Satrapi,Horror|Thriller|Comedy|Crime,Studio Babelsberg|Mandalay Vision|1984 Private Defense Contractors,2015,0.0,0.0
0,3643591,Last Knights,Kazuaki Kiriya,Action|Adventure,Czech Anglo Productions|Luka Productions,2015,0.0,3352102.24507501
12000000,0,Il racconto dei racconti,Matteo Garrone,Romance|Fantasy|Horror,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC),2015,11039995.1424021,0.0
11000000,27391084,Irrational Man,Woody Allen,Mystery|Drama,Sony Pictures|Gravier Productions,2015,10119995.5472019,25199786.192094
15000000,0,Queen of the Desert,Werner Herzog,Drama|History,Benaroya Pictures|H Films|Raslan Company of America,2015,13799993.9280026,0.0
18000000,41325328,Ricki and the Flash,Jonathan Demme,Comedy|Drama|Music,Columbia TriStar|Clinica Estetico|LStar Capital,2015,16559992.7136032,38019285.0315145
0,0,Miss You Already,Catherine Hardwicke,Comedy|Drama|Romance,S Films|New Sparta Films,2015,0.0,0.0
630019,0,Kung Fury,David Sandberg,Action|Comedy|Science Fiction|Fantasy,Laser Unicorns,2015,579617.224968421,0.0
12000000,60273173,The Perfect Guy,David M. Rosenthal,Drama|Thriller,Screen Gems,2015,11039995.1424021,55451294.7614303
0,1936524,A Bigger Splash,Luca Guadagnino,Crime|Drama|Mystery|Thriller,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film,2015,0.0,1781601.29609542
10000000,7587485,While We're Young,Noah Baumbach,Drama|Comedy,Scott Rudin Productions|A24,2015,9199995.95200178,6980483.12858742
